,index,제품명,단맛,신맛,청량감,바디감,도수%,탄산,주종,keyword,용량,가격,제조사,원재료
13,13,감그린스페셜,3.0,3.0,3.0,3,12,0.0,과실주, 단맛 신맛 청량감 바디감     과실주  이색전통주,750ml,25000,청도감와인(주),감
14,14,감그린아이스와인,4.0,2.0,2.0,4,10,0.0,과실주, 단맛   바디감     과실주  이색전통주,375ml,89000,청도감와인(주),감
15,15,감보드카,,,,3,32,0.0,증류주,    바디감 목넘김    증류주  ,375ml,14000,양촌감영농조합법인,감
16,16,감사,2.0,2.0,,2,14,0.0,약주/청주,     목넘김 담백   약주/청주 쌀  선물,375ml,15000,술샘,"쌀,누룩,정제수"
17,17,감아락25,2.0,,,2,25,0.0,증류주,         증류주 쌀  가을,500ml,26000,(주)배상면주가,"감증류원액,쌀"
18,18,감악산머루주,4.0,4.0,3.0,3,12,0.0,과실주, 단맛 신맛 청량감 바디감     과실주 머루  ,360ml,28000,산머루농원영농조합법인,"국내산산머루원액,주정"
19,19,감이슬,,,,2,23,0.0,증류주,         증류주  과일류,375ml,10000,양촌감영농조합법인,감
20,20,감자술13,3.0,2.0,3.0,2,13,0.0,약주/청주, 단맛  청량감      약주/청주 감자  선물,700ml,14000,오대서주양조,"백미,감자,누룩,효모,정제수"
21,21,감홍로백자,3.0,,,4,40,0.0,증류주,향기 단맛   바디감     증류주 쌀 약재  ,700ml,75000,농업회사법인(주)감홍로,"쌀,조,가지약재"
22,22,감홍로청자,3.0,,,4,40,0.0,증류주,향기 단맛   바디감     증류주 쌀 약재  ,700ml,90000,농업회사법인(주)감홍로,"쌀,조,가지약재"
23,23,강소주,,,,3,50,0.0,증류주,향기    바디감     증류주 쌀  소용량,"1,800ml",11000,내국양조,"국내산쌀,정제수"
24,24,강쇠,2.0,2.0,1.0,4,13,0.0,약주/청주,    바디감     약주/청주 쌀 오가피  ,370ml,2500,농업회사법인(유)술소리,"쌀,누룩,오가피"
25,25,걍즐겨,3.0,4.0,3.0,3,8,0.0,탁주, 단맛 신맛 청량감 바디감     탁주 쌀 찹쌀  이색전통주,600ml,6000,디오케이브루어리,"찹쌀,멥살,누룩,석류,히비스커스,정제수"
26,26,겨울소주25,,,,4,25,0.0,증류주,향기    바디감 목넘김    증류주  겨울,360ml,10000,두이술공방,"증류원액,효모,효소,정제수"
27,27,경기전,2.0,3.0,4.0,2,5,0.0,기타주류,  신맛 청량감      기타주류 보리  탄산,1000ml,27000,농업회사법인동문거리양조장(주)(전주술로시티),"보리,맥아,호프펠렛,효모,정제효소제,정제수"
28,28,계룡백일주12년,3.0,,,4,40,0.0,기타주류,향기 단맛   바디감     기타주류 쌀 찹쌀 오미자 꽃 솔잎  ,600ml,150000,계룡백일주,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎"
29,29,계룡백일주16,1.0,1.0,1.0,1,16,0.0,약주/청주,         약주/청주 쌀 찹쌀 오미자 꽃 솔잎  ,700ml,18500,계룡백일주,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎"
30,30,계룡백일주30,2.0,,,3,30,0.0,기타주류,    바디감     기타주류 쌀 찹쌀 오미자 꽃 솔잎  ,400ml,20000,계룡백일주,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎"
31,31,계룡백일주40,3.0,,,3,40,0.0,기타주류,향기 단맛   바디감     기타주류 쌀 찹쌀 오미자 꽃 솔잎  ,600ml,40000,계룡백일주,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎"
32,32,계룡산산삼주금수강산21,,,,2,21,0.0,증류주,         증류주 삼  삼(蔘)류,740ml,110000,농업회사법인한국산삼(주),"산양산삼,정제주,주정"
33,33,계룡산산삼주금수강산40,,,,3,40,0.0,증류주,향기    바디감 목넘김    증류주 삼  삼(蔘)류,740ml,150000,농업회사법인한국산삼(주),"산양산삼,정제주,주정"
34,34,고구마아락,2.0,,,3,40,0.0,증류주,향기    바디감     증류주 보리 고구마  ,500ml,25000,농업회사법인배상면주가고창LB,"보리,고구마,정제수"
35,35,고도리레드와인스위트,3.0,3.0,2.0,3,12,0.0,과실주, 단맛 신맛  바디감     과실주 포도 머루  ,750ml,22000,고도리와이너리,MBA머루포도
36,36,고도리복숭아와인,4.0,3.0,3.0,2,6.5,0.0,과실주, 단맛 신맛 청량감    탄닌감  과실주 복숭아  이색전통주,750ml,32000,고도리와이너리,복숭아
37,37,고도리화이트와인드라이,2.0,3.0,3.0,2,10.5,0.0,과실주,  신맛 청량감      과실주 포도  저도수,750ml,22000,고도리와이너리,거봉포도
38,38,고도리화이트와인스위트,4.0,3.0,3.0,2,10.5,0.0,과실주, 단맛 신맛 청량감      과실주 포도  저도수,750ml,22000,고도리와이너리,거봉포도
39,39,고소리술,2.0,0.0,3.0,3,40,0.0,증류주,   청량감 바디감     증류주 쌀  선물,375ml,25000,제주샘영농조합법인,"쌀,차조,입국,누룩,효모,효소,정제수,스테비올배당체"
40,40,고운달백자,,,,5,52,0.0,증류주,향기    바디감 목넘김    증류주 오미자  선물,200ml,"180,000",농업회사법인(주)제이엘,오미자
41,41,고운달오크,,,,5,52,0.0,증류주,향기    바디감 목넘김    증류주 오미자  선물,200ml,"180,000",농업회사법인(주)제이엘,오미자
42,42,고창선운산땡큐복분자주,3.0,1.0,3.0,2,13,0.0,과실주, 단맛  청량감      과실주 복분자  소용량,300ml,2500,농업회사법인고창선운산(유),"복분자과실,주정,효모,구연산,정제수"
43,43,고창선운산땡큐블루베리주,2.0,2.0,2.0,2,13,0.0,과실주,         과실주 베리  소용량,300ml,2000,농업회사법인고창선운산(유),"블루베리과실,주정,효모,구연산,정제수"
44,44,고창선운산복분자주특1호,3.0,1.0,3.0,2,15,0.0,과실주, 단맛  청량감      과실주 복분자  ,"1,800ml",27000,농업회사법인고창선운산(유),"복분자과실,주정,효모,구연산,정제수"
45,45,공주애오디와인,3.0,2.0,3.0,1,15,0.0,과실주, 단맛  청량감      과실주 오디  ,375ml,6000,농업회사법인사곡양조원,"국내산오디,정제수,주정,과당,효모"
46,46,구기홍주14,3.0,1.0,2.0,3,14,0.0,약주/청주, 단맛   바디감  담백   약주/청주 쌀 구기자  선물,360ml,10000,두이술공방,"쌀,국,구기자추출액,올리고당,효모,효소,아세설팜칼륨,정제수"
47,47,구름을벗삼아,3.0,3.0,3.0,3,6,1.0,탁주, 단맛 신맛 청량감 바디감    탄산 탁주 쌀 찹쌀  무감미료,750ml,1500,문경주조,"정제수,찹쌀·백미,입국등"
48,48,귀감,,,,3,25,0.0,증류주,향기    바디감     증류주 귤  과일류,350ml,25000,농업회사법인(주)시트러스,"감귤과즙,백설탕,액상효모,스테비올배당체,무수아황산"
49,49,그랑꼬또레드와인,3.0,3.0,3.0,2,12,0.0,과실주, 단맛 신맛 청량감      과실주 포도  ,750ml,35000,그린영농조합법인,포도
50,50,그랑꼬또M56,2.0,3.0,1.0,3,12,0.0,과실주,  신맛  바디감     과실주 포도  홈술,750ml,21000,그린영농조합법인,포도
51,51,그랑꼬또M5610,4.0,3.0,3.0,2,10,0.0,과실주, 단맛 신맛 청량감      과실주 포도  ,750ml,56000,그린영농조합법인,포도
52,52,그랑꼬또로제와인,2.0,3.0,1.0,3,12,0.0,과실주,  신맛  바디감     과실주 포도  홈술,750ml,21000,그린영농조합법인,포도
53,53,그랑꼬또청수,2.0,1.0,3.0,4,12,0.0,과실주,   청량감 바디감     과실주 포도  파티,750ml,60000,그린영농조합법인,포도
54,54,그랑꼬또화이트와인,3.0,3.0,3.0,2,12,0.0,과실주, 단맛 신맛 청량감      과실주 포도  ,750ml,40000,그린영농조합법인,포도
55,55,그랑티그르CE2002,3.0,2.0,2.0,3,12,0.0,과실주, 단맛   바디감     과실주 포도  ,750ml,40000,월류원(오드린),포도
56,56,그랑티그르M1988,3.0,3.0,2.0,3,12,0.0,과실주, 단맛 신맛  바디감     과실주 포도 오미자  ,750ml,40000,월류원(오드린),"포도,오미자"
57,57,그랑티그르S1974,1.0,3.0,2.0,4,12,0.0,과실주,  신맛  바디감     과실주 포도  ,750ml,40000,월류원,포도
58,58,금산인삼주,1.0,4.0,2.0,4,12.5,0.0,약주/청주,  신맛  바디감     약주/청주 쌀 삼  ,375ml,4000,농업회사법인(주)금산인삼주,"쌀,인삼,누룩,정제수등"
59,59,금산인삼주수삼단본23,1.0,,,3,23,0.0,증류주,향기    바디감     증류주 쌀 삼  ,720ml,32000,농업회사법인(주)금산인삼주,"쌀,인삼,누룩,정제수등"
60,60,금산인삼주수삼단본43,1.0,,,4,43,0.0,증류주,향기    바디감     증류주 쌀 삼  삼(蔘)류,720ml,42000,농업회사법인(주)금산인삼주,"쌀,인삼,누룩,정제수등"
61,61,금이산농원복숭아와인,3.0,2.0,2.0,3,12,0.0,과실주, 단맛   바디감   탄닌감  과실주 복숭아  ,500ml,20000,영농조합법인금이산농원,"복숭아,백설탕,효모,메타중아황산칼륨"
62,62,금이산농원사과와인,3.0,2.0,2.0,3,12,0.0,과실주, 단맛   바디감     과실주 사과  ,500ml,20000,영농조합법인금이산농원,"사과,백설탕,효모,메타중아황산칼륨"
63,63,금이산농원오가피와인,3.0,2.0,2.0,3,12,0.0,과실주, 단맛   바디감     과실주 오가피  이색전통주,500ml,20000,영농조합법인금이산농원,"오가피열매,백설탕,효모,메타중아황산칼륨"
64,64,금정산성막걸리,1.0,3.0,2.0,3,8,0.0,탁주,  신맛  바디감     탁주 밀  홈술,750ml,1900,(유)금정산성토산주,"백미,밀누룩,정제수,아스파탐"
65,65,기다림16,2.0,4.0,2.0,3,9,0.0,탁주,  신맛  바디감     탁주 쌀 찹쌀  무감미료,750ml,11000,농업회사법인(주)제이케이크래프트,"찹쌀,흑미,곡자,정제수"
66,66,기다림25,2.0,4.0,2.0,2,8,0.0,탁주,  신맛       탁주 쌀 찹쌀  무감미료,750ml,9900,농업회사법인(주)제이케이크래프트,"백미,찹쌀,곡자,정제수"
67,67,기다림34,3.0,3.0,3.0,3,12,0.0,탁주, 단맛 신맛 청량감 바디감     탁주 쌀 찹쌀  무감미료,500ml,15000,농업회사법인(주)제이케이크래프트,"멥쌀,찹쌀,곡자,정제수"
68,68,기다림맑은술,4.0,3.0,3.0,3,15,0.0,약주/청주, 단맛 신맛 청량감 바디감     약주/청주 쌀 찹쌀  홈술,500ml,25000,농업회사법인(주)제이케이크래프트,"멥쌀,찹쌀,곡자,정제수"
69,69,김천과하주16,1.0,2.0,1.0,2,16,0.0,약주/청주,         약주/청주 쌀 찹쌀  ,700ml,20000,김천과하주,"찹쌀,누룩,샘물,황국잎"
70,70,김천과하주23,1.0,,,2,23,0.0,기타주류,         기타주류 쌀  고문헌,700ml,22000,김천과하주,"멥쌀,누룩,샘물,황국잎"
71,71,김포막걸리,2.0,2.0,3.0,1,6,0.0,탁주,   청량감      탁주 쌀  ,750ml,1200,김포양조,"쌀,누룩,정제수"
72,72,김포별주,3.0,1.0,1.0,3,13,0.0,약주/청주, 단맛   바디감     약주/청주 쌀  ,500ml,4000,김포양조,"쌀,옥수수전분,국,효모,젖산,효소제,정제수"
73,73,김포약주,1.0,2.0,1.0,2,11,0.0,약주/청주,         약주/청주 밀  저도수,750ml,10000,김포양조,"옥수수전분,밀,국,효모,젖산,효소제,정제수"
74,74,김포예주,2.0,1.0,1.0,4,13,0.0,약주/청주,    바디감     약주/청주 쌀  ,750ml,15000,김포양조,"국내산쌀,국,효모,젖산,정제수"
75,75,김포특주,4.0,4.0,2.0,2,15,0.0,약주/청주, 단맛 신맛    담백   약주/청주 쌀  ,375ml,3000,김포금쌀탁주영농조합법인,"국내산쌀,효모,정제효소,정제수,프락토올리고당"
76,76,까메오막걸리,3.0,1.0,2.0,4,6,0.0,탁주, 단맛   바디감     탁주 쌀  혼술,550ml,5000,낙천,"정제수,쌀,효모,누룩,과당등"
77,77,나루생막걸리11.5,4.0,1.0,1.0,5,11.5,0.0,탁주, 단맛   바디감     탁주 쌀  파티,500ml,11000,한강주조,"쌀,국,효모,정제수"
78,78,나루생막걸리6,3.0,3.0,2.0,2,6,0.0,탁주, 단맛 신맛       탁주 쌀  파티,935ml,7000,한강주조,"쌀,국,효모,정제수"
79,79,남산애레드와인,3.0,3.0,3.0,2,14,0.0,과실주, 단맛 신맛 청량감      과실주 포도  ,750ml,45000,예인화원,포도
80,80,남산애포트와인,3.0,3.0,2.0,3,18.5,0.0,과실주, 단맛 신맛  바디감     과실주 포도  ,750ml,55000,예인화원,포도
81,81,내장산복분자주,1.0,3.0,,2,16,0.0,과실주,  신맛   목넘김    과실주 복분자  ,360ml,6000,내장산복분자영농조합,"복분자,주정,정제수,설탕등"
82,82,녹고의눈물,2.0,,,3,16,0.0,기타주류,    바디감     기타주류 오가피  ,500ml,23000,농업회사법인(주)토향,섬오가피
83,83,녹천소곡화주,2.0,,,3,41,0.0,기타주류,향기    바디감     기타주류 쌀 찹쌀  ,500ml,22000,녹천주조장,"찹쌀,누룩,백미,정제수"
84,84,녹천한산소곡주살균,4.0,1.0,1.0,2,16,0.0,약주/청주, 단맛        약주/청주 쌀 찹쌀  ,750ml,12000,녹천주조장,"찹쌀,누룩,백미,정제수"
85,85,녹천한산소곡주생,4.0,1.0,1.0,2,16,0.0,약주/청주, 단맛        약주/청주 쌀 찹쌀  ,750ml,12000,녹천주조장,"찹쌀,누룩,백미,정제수"
86,86,녹파주,3.0,2.0,2.0,3,15,0.0,약주/청주, 단맛   바디감  담백   약주/청주 쌀 찹쌀  선물,375ml,35000,농업회사법인(주)솔송주,"국내산찹쌀,멥쌀,누룩,정제수"
87,87,뉴트로,4.0,4.0,4.0,3,8,0.0,탁주, 단맛 신맛 청량감 바디감     탁주 쌀 찹쌀  ,600ml,6000,디오케이브루어리,"찹쌀,멥살,누룩,레몬,라임,잉글리쉬블랙퍼스트,정제수"
88,88,느린마을막걸리,3.0,1.0,3.0,2,6,0.0,탁주, 단맛  청량감      탁주 쌀  무감미료,750ml,2300,배상면주가,"쌀,국,효모,정제수"
89,89,능이주,1.0,3.0,1.0,2,13,0.0,약주/청주,  신맛    담백   약주/청주 쌀  홈술,375ml,12000,내국양조,"국내산쌀,능이농충액,누룩,정제수"
90,90,니모메,2.0,1.0,1.0,2,11,0.0,약주/청주,      담백   약주/청주 쌀 귤  파티,375ml,12000,제주샘영농조합법인,"쌀,감귤진피,정제수"
91,91,다래와인3004,2.0,2.0,1.0,2,8,0.0,과실주,         과실주 다래  저도수,375ml,10000,영농조합법인오름주가,참다래
92,92,다래와인7004D,1.0,4.0,2.0,2,12,0.0,과실주,  신맛       과실주 다래  ,750ml,28000,영농조합법인오름주가,참다래
93,93,다래와인7004S,2.0,2.0,1.0,4,8,0.0,과실주,    바디감     과실주 다래  저도수,750ml,18000,영농조합법인오름주가,참다래
94,94,다랭이팜생막걸리,1.0,4.0,4.0,4,6,0.0,탁주,  신맛 청량감 바디감     탁주 쌀  무감미료,750ml,4000,다랭이팜,"쌀,분도유기농현미,누룩,효모등"
95,95,다랭이팜생막걸리흑미,1.0,5.0,2.0,2,6,0.0,탁주,  신맛       탁주  ,750ml,4000,다랭이팜,"남해산유기농현미,누룩,효모등"
96,96,다랭이팜유자막걸리,1.0,5.0,2.0,4,6,0.0,탁주,  신맛  바디감     탁주  ,750ml,4000,다랭이팜,"남해산유기농유자원액,누룩,효모등"
97,97,담솔,3.0,0.0,3.0,3,40,0.0,기타주류, 단맛  청량감 바디감     기타주류 쌀  ,500ml,22000,명가원영농조합법인,"정제수,국내산쌀,국내산송순농축액,누룩,조제종국,효모"
98,98,담양죽력고,,,,3,25,0.0,증류주,향기    바디감 목넘김    증류주 쌀 생강 계피  고문헌,350ml,13000,추성고을,"정제수,쌀,누룩,죽력,계피,석창포,생강,효모"
99,99,담은,3.0,1.0,1.0,4,6,0.0,탁주, 단맛   바디감     탁주 쌀  선물,750ml,15000,(주)1932포천일동막걸리,"쌀,입국,효모,고과당,정제효소제,정제수"
100,100,당당하리,4.0,2.0,2.0,2,15,0.0,과실주, 단맛        과실주 쌀 복분자 사과 밀 감초  베리류,375ml,15333,농업회사법인(주)세찬제조사,"쌀,홍마늘,감초,개량누룩,효모,정제효소제,정제수,복분자,설탕,올리고당,DL-사과산,구연산,무수아황산,이산화항,밀함유"
101,101,대관령복분자주,1.0,2.0,1.0,4,16,0.0,과실주,    바디감     과실주 복분자  ,400ml,13000,농업회사법인(주)홍지원,국내산복분자
102,102,대대포생막걸리,2.0,1.0,3.0,2,6,0.0,탁주,   청량감      탁주 꿀  선물,750ml,3500,농업회사법인(주)죽향도가,"백미,벌꿀,정제수"
103,103,대윤가야곡왕주,2.0,2.0,1.0,3,13,0.0,약주/청주,    바디감     약주/청주 쌀  홈술,300ml,4000,농업회사법인대윤가야곡주조(주),"쌀,누룩,효모,물엿,정제수"
104,104,대잎생동동주,1.0,2.0,3.0,2,6,0.0,탁주,   청량감      탁주 쌀  ,1700ml,2500,농업회사법인(주)죽향도가,"쌀,좁쌀,정제효소,젖산,효모,아스파탐,영지,생각,정제수"
105,105,대작생막걸리,4.0,3.0,3.0,3,6,0.0,탁주, 단맛 신맛 청량감 바디감     탁주 쌀  ,750ml,2000,대작영농조합법인,"쌀,조제종국효모,정제효소,올리고당,스테비텐후레쉬,정제수"
106,106,대통대잎술,1.0,1.0,,2,15,0.0,약주/청주,     목넘김    약주/청주 쌀 구기자 솔잎  파티,700ml,16000,추성고을,"쌀,누룩,갈근,구기자,솔잎,진피등"
107,107,도구막걸리,2.0,2.0,3.0,3,6,0.0,탁주,   청량감 바디감     탁주 쌀 밀  ,750ml,1666,동해명주,"밀,쌀,물엿,효모,조제종국,정제효소제,아스파탐,젖산"
108,108,도깨비술11,4.0,4.0,3.0,5,11,0.0,탁주, 단맛 신맛 청량감 바디감     탁주 쌀  파티,750ml,12000,농업회사법인(주)도깨비양조장,"멥쌀,누룩,효모,정제수"
109,109,도깨비술7,3.0,3.0,4.0,3,7,0.0,탁주, 단맛 신맛 청량감 바디감     탁주 쌀  파티,750ml,8000,농업회사법인(주)도깨비양조장,"멥쌀,누룩,효모,정제수"
110,110,도깨비술9,3.0,3.0,3.0,4,9,0.0,탁주, 단맛 신맛 청량감 바디감     탁주 쌀  파티,750ml,10000,농업회사법인(주)도깨비양조장,"멥쌀,누룩,효모,정제수"
111,111,도로시머루주,4.0,4.0,3.0,3,12,0.0,과실주, 단맛 신맛 청량감 바디감     과실주 머루  선물,500ml,25000,산머루농원영농조합법인,"국내산산머루원액,주정"
112,112,도문대작생막걸리,1.0,3.0,3.0,2,10,0.0,탁주,  신맛 청량감      탁주 쌀  ,750ml,3000,방풍도가,"강릉쌀,누룩,갯방풍나물,정제수"
113,113,독산53,,,,3,53,0.0,증류주,    바디감 목넘김    증류주 쌀  소용량,250ml,25000,농업회사법인오산양조(주),"쌀,국,효모,정제수"
114,114,동강더덕주,3.0,,,2,20,0.0,기타주류,향기 단맛        기타주류 구기자 감초  ,360ml,3500,영월더덕영농조합법인,"더덕,대추구기자,감초,원지"
115,115,동몽,2.0,3.0,1.0,3,17,0.0,약주/청주,  신맛  바디감  담백   약주/청주 쌀  명절,500ml,30000,예술,"홍천쌀,정제수,단호박,국"
116,116,동정춘,4.0,3.0,2.0,3,8,0.0,탁주, 단맛 신맛  바디감     탁주 쌀  고문헌,500ml,18000,농업회사법인(주)산수,"쌀,누국,정제수"
117,117,동정춘막걸리산정호수,5.0,1.0,4.0,4,6,0.0,탁주, 단맛  청량감 바디감     탁주 쌀  선물,720ml,20000,(주)농업회사법인술빚는전가네,"국내산쌀,누룩,정제수"
118,118,동학1957,3.0,3.0,2.0,3,13,0.0,약주/청주, 단맛 신맛  바디감  담백   약주/청주 쌀  선물,375ml,3500,고헌정영농조합법인,"쌀,구연산,효모,젖산,정제효소제,국,주정,정제수"
119,119,동해동동주,2.0,1.0,3.0,2,6,0.0,탁주,   청량감      탁주 쌀  무감미료,750ml,1666,동해명주,"쌀,물엿,효모,조제종국,정제효소제,아스파탐,젖산"
120,120,두레앙22,,,,4,22,0.0,증류주,    바디감     증류주 포도  과일류,375ml,5000,농업회사법인(주)두레양조,거봉포도원액
121,121,두레앙브랜디,3.0,,,3,35,0.0,증류주,향기 단맛   바디감     증류주 포도  ,750ml,70000,농업회사법인(주)두레양조,거봉포도원액
122,122,두레앙와인,2.0,2.0,1.0,4,12,0.0,과실주,    바디감     과실주 포도  가성비,750ml,15000,농업회사법인(주)두레양조,거봉포도원액
123,123,두레앙증류주,2.0,,,2,35,0.0,증류주,         증류주 포도  과일류,750ml,35000,농업회사법인(주)두레양조,거봉포도원액
124,124,두리향,,,,4,43,0.0,증류주,향기    바디감 목넘김    증류주 쌀 찹쌀  고문헌,500ml,36000,케이소주(전주가양주연구소),"국내산찹쌀,누룩,정제수"
125,125,두유노,2.0,3.0,3.0,3,6,0.0,탁주,  신맛 청량감 바디감     탁주 쌀 찹쌀 밀  ,600ml,6000,디오케이브루어리,"찹쌀,멥살,누룩,밀가루"
126,126,라이스퐁당13,3.0,2.0,1.0,3,13,0.0,약주/청주, 단맛   바디감     약주/청주 쌀 찹쌀  홈술,500ml,15000,농업회사법인(주)벗드림,"찹쌀,누룩,정제수"
127,127,라이스퐁당17,3.0,3.0,1.0,4,17,0.0,약주/청주, 단맛 신맛  바디감     약주/청주 쌀 찹쌀  ,500ml,18000,농업회사법인(주)벗드림,"찹쌀,누룩,정제수"
128,128,레돔내추럴스파클링로제와인,3.0,3.0,4.0,2,7.5,0.0,과실주, 단맛 신맛 청량감      과실주 포도  파티,750ml,38000,농업회사법인작은알자스,포도
129,129,레돔시드르,3.0,3.0,4.0,2,6,0.0,과실주, 단맛 신맛 청량감      과실주 사과  파티,750ml,32000,농업회사법인작은알자스,사과
130,130,려25,1.0,,,1,25,0.0,증류주,향기         증류주 쌀 고구마  선물,375ml,30000,(농)국순당여주명주(주),"고구마,쌀"
131,131,려고구마증류소주25,1.0,,,3,25,0.0,증류주,    바디감     증류주 고구마  ,500ml,35000,(농)국순당여주명주(주),고구마
132,132,려고구마증류소주40,2.0,,,3,40,0.0,증류주,    바디감     증류주 고구마  ,500ml,35000,(농)국순당여주명주(주),고구마
133,133,로얄안동소주18년,3.0,,,4,45,0.0,증류주, 단맛   바디감     증류주 쌀  ,600ml,72000,농업회사법인유토피아(주),"국내산쌀,입국"
134,134,르깔롱,,,,4,16,0.0,기타주류,향기    바디감 목넘김    기타주류  과일류,500ml,35000,추성고을,"정제수,주정,고과당,죽력,메론후레바,레이지라임,코코넛향,윌튼스카이아이싱칼라"
135,135,마셔블랑,3.0,3.0,3.0,2,12,0.0,증류주, 단맛 신맛 청량감      증류주 귤  ,750ml,20000,농업회사법인(주)시트러스,"감귤과즙,백설탕,액상효모,무수아황산"
136,136,마주소곡주,4.0,3.0,2.0,4,16,0.0,약주/청주, 단맛 신맛  바디감  담백   약주/청주 쌀 찹쌀 밀  선물,500ml,17000,옥순가소곡주마주,"찹쌀,백미,모싯잎,우리밀누룩,정제수,효모"
137,137,마주소곡화주,,,,4,41,0.0,증류주,향기    바디감 목넘김    증류주 쌀 찹쌀 밀  선물,500ml,25000,옥순가소곡주마주,"찹쌀,백미,모싯잎,우리밀누룩,정제수,홍고추"
138,138,막시모40,,,,3,40,0.0,증류주,향기    바디감 목넘김    증류주 오미자  베리류,500ml,49000,농업회사법인(주)착한농부,"오미자증류원액,오미자원액,정제수"
139,139,만강에비친달,2.0,3.0,3.0,3,10,0.0,탁주,  신맛 청량감 바디감  담백   탁주 쌀  선물,500ml,12000,예술,"홍천쌀,정제수,단호박,곡자"
140,140,맑은내일Winery단감명작,3.0,2.0,3.0,2,7,0.0,과실주, 단맛  청량감    탄닌감  과실주  과일류,750ml,20000,농업회사법인우포의아침주식회사,"단감,정제수,설탕,효소제,무수구연산,효모,무수아황산,소브산"
141,141,맑은내일발효막걸리,3.0,3.0,3.0,4,7,0.0,탁주, 단맛 신맛 청량감 바디감     탁주 쌀  탄산,750ml,"2,200",농업회사법인우포의아침(주),"쌀,누룩,효소,아스파탐,정제수"
142,142,맑은내일우포,3.0,2.0,2.0,2,12,0.0,약주/청주, 단맛     담백   약주/청주 쌀  홈술,325ml,"5,000",농업회사법인우포의아침(주),"쌀,옥수수전분,효모,누룩,양파,정제수"
143,143,맑은문희주,3.0,1.0,1.0,4,13,0.0,약주/청주, 단맛   바디감     약주/청주 쌀 찹쌀  파티,750ml,36000,문경주조,"유기농찹쌀,멥쌀,전통누룩,정제수"
144,144,맑은술해밀,3.0,2.0,2.0,2,15,0.0,약주/청주, 단맛        약주/청주 쌀  ,500ml,25000,내변산양조장,"쌀,누룩,정제수"
145,145,매실막걸리,3.0,2.0,1.0,5,7,0.0,탁주, 단맛   바디감     탁주 쌀  ,750ml,3500,농업회사법인(주)백운주가,"쌀,매실과즙"
