page,total_index,name,label1,label2,label3,label4,label5,text1,text2,text3,text4,text5
1279,,가평소주,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,중간,약함,약함,중간
1280,,당진소주,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,강함,중간,중간,중간
1287,,배금도가포도막걸리,단맛,산미,담백,바디감,탄산,중간,강함,약함,강함,없음
1288,,배금도가포도약주,단맛,산미,씁쓸,바디감,담백,강함,약함,중간,강함,약함
1294,,주향소주41,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,강함,매우강함,강함,강함
1295,,도봉산막걸리8,단맛,산미,담백,바디감,탄산,약함,중간,강함,약함,없음
1303,,추사백40,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,강함,강함,중간
1308,,미르아토청수스위트와인,단맛,산미,탄닌감,바디감,탄산,강함,강함,없음,중간,없음
1309,,미르아토로제스파클링스위트와인,단맛,산미,탄닌감,바디감,탄산,강함,중간,약함,약함,중간
1321,,피에스로제스파클링와인,단맛,산미,탄닌감,바디감,탄산,매우강함,중간,약함,약함,강함
1322,,피에스화이트스파클링와인,단맛,산미,탄닌감,바디감,탄산,강함,중간,없음,약함,강함
1326,,서울고량주레드,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,중간,중간,중간
1327,,조은가,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,강함,강함,강함,중간
1338,295,신례명주50,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,강함,매우강함,강함,매우강함
